father qualification,previous qualification,target,count
Higher Education - Degree,Other,Dropout,0
Higher Education - Degree,Other,Enrolled,0
Higher Education - Degree,Professional higher technical course,Graduate,0
Higher Education - Degree,Professional higher technical course,Dropout,0
Higher Education - Degree,Professional higher technical course,Enrolled,0
Secondary Education - 12th Year of Schooling,Higher Education - Master's,Graduate,0
Secondary Education - 12th Year of Schooling,Higher Education - Master's,Dropout,0
Secondary Education - 12th Year of Schooling,Higher Education - Master's,Enrolled,0
Secondary Education - 12th Year of Schooling,Other,Graduate,0
Secondary Education - 12th Year of Schooling,Other,Dropout,0
Secondary Education - 12th Year of Schooling,Other,Enrolled,0
Secondary Education - 12th Year of Schooling,Professional higher technical course,Graduate,0
Secondary Education - 12th Year of Schooling,Professional higher technical course,Dropout,0
Secondary Education - 12th Year of Schooling,Professional higher technical course,Enrolled,0
